MCAT ID,MCAT Name,message_text_json,Frequency
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": ""Commercial Atta Chakki Machine"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": ""Commercial Atta Chakki Machine"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": """", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": null, ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": """", ""additional_details"": null}",5
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": ""I want to purchase 18 Inch Atta Chakki Machine Commercial 10 HP Atta Chakki Machine\n\nKindly send me price and other details."", ""additional_details"": null}",3
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Flour Mill Besan Plant"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": """", ""additional_details"": null}",5
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Automatic Flour Mill Besan Plant"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": null, ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Besan Making Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": ""Commercial Atta Chakki Machine"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Besan Making Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": """", ""additional_details"": null}",5
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Clay Graphite Crucibles, Carbon Bonded Silicon Carbide Crucible"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": """", ""additional_details"": null}",5
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Commercial Atta Chakki Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": """", ""additional_details"": null}",4
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Commercial Atta Chakki Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": null, ""additional_details"": null}",4
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Dal Mill Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": ""Commercial Atta Chakki Machine"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Dal Mill Machine"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": """", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Domestic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": ""Commercial Atta Chakki Machine"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Domestic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": {}, ""isq_priority"": {""1"": ""Probable Requirement Type"", ""2"": ""Additional Requirements""}, ""message_text"": ""14 inch Atta & Masala chakki"", ""additional_details"": null}",2
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Domestic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": """", ""additional_details"": null}",14
6472,Commercial Atta Chakki Machine,"{""isq"": {""Additional Requirements"": ""Domestic Atta Chakki"", ""Probable Requirement Type"": ""Business Use""}, ""enrichment"": null, ""isq_priority"": {""1"": ""Additional Requirements"", ""2"": ""Probable Requirement Type""}, ""message_text"": null, ""additional_details"": null}",2
