MCAT ID,MCAT Name,fk_im_spec_options_desc,Frequency
6472,Commercial Atta Chakki Machine,100 kg/hr,40
6472,Commercial Atta Chakki Machine,200 kg/hr,37
6472,Commercial Atta Chakki Machine,50 kg/hr,35
6472,Commercial Atta Chakki Machine,30 kg/hr,29
6472,Commercial Atta Chakki Machine,80 kg/hr,27
6472,Commercial Atta Chakki Machine,500 kg/hr,20
6472,Commercial Atta Chakki Machine,100kg,5
6472,Commercial Atta Chakki Machine,30,4
6472,Commercial Atta Chakki Machine,"100 kg/hr, 80 kg/hr",4
6472,Commercial Atta Chakki Machine,"200 kg/hr, 80 kg/hr",4
6472,Commercial Atta Chakki Machine,"30 kg/hr, 80 kg/hr",4
6472,Commercial Atta Chakki Machine,"50 kg/hr, 80 kg/hr",4
6472,Commercial Atta Chakki Machine,"500 kg/hr, 200 kg/hr",4
6472,Commercial Atta Chakki Machine,"100 kg/hr, 200 kg/hr",3
6472,Commercial Atta Chakki Machine,"200 kg/hr, 500 kg/hr",3
6472,Commercial Atta Chakki Machine,"30 kg/hr, 50 kg/hr",3
6472,Commercial Atta Chakki Machine,"50 kg/hr, 30 kg/hr",3
6472,Commercial Atta Chakki Machine,50,2
6472,Commercial Atta Chakki Machine,"100 kg/hr, 50 kg/hr",2
6472,Commercial Atta Chakki Machine,"50 kg/hr, 100 kg/hr",2
6472,Commercial Atta Chakki Machine,"80 kg/hr, 100 kg/hr",2
6472,Commercial Atta Chakki Machine,MRP,2
6472,Commercial Atta Chakki Machine,Single phase,2
6472,Commercial Atta Chakki Machine,Without motor,2
6472,Commercial Atta Chakki Machine,16,1
6472,Commercial Atta Chakki Machine,18,1
6472,Commercial Atta Chakki Machine,150,1
6472,Commercial Atta Chakki Machine,500,1
6472,Commercial Atta Chakki Machine,6100,1
6472,Commercial Atta Chakki Machine,10000,1
6472,Commercial Atta Chakki Machine,19000,1
6472,Commercial Atta Chakki Machine,1 HP,1
6472,Commercial Atta Chakki Machine,"1 khante me kitna gheo pise gi, 1 khante me kitna gheo pisegi",1
6472,Commercial Atta Chakki Machine,1 phej,1
6472,Commercial Atta Chakki Machine,1 pice pincode 326518,1
6472,Commercial Atta Chakki Machine,1 set ka,1
6472,Commercial Atta Chakki Machine,"1,00,150",1
6472,Commercial Atta Chakki Machine,"1.5kg, Prise",1
6472,Commercial Atta Chakki Machine,10 hp moter,1
6472,Commercial Atta Chakki Machine,10 hp par kitane inch chkki,1
6472,Commercial Atta Chakki Machine,10 hp wali kitne ki padegi,1
6472,Commercial Atta Chakki Machine,10 inch require,1
6472,Commercial Atta Chakki Machine,10 inchi,1
6472,Commercial Atta Chakki Machine,10 kg,1
6472,Commercial Atta Chakki Machine,10 kg/hr,1
6472,Commercial Atta Chakki Machine,10 to 15 kg/hr,1
6472,Commercial Atta Chakki Machine,"10,000, 15000",1
6472,Commercial Atta Chakki Machine,100 kg,1
6